DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
LAS LOMAS NO.2 BANK:SERIES,EMS,ABC,en_4301127_S,en_4301127,SRD_12.0KV_EMS,DMSLimitGrp1,LAS_LOMAS,NULL,All
GALE NO.1 BANK:SERIES,EMS,ABC,en_4255002_S,en_4255002,SRD_33.0KV_EMS,DMSLimitGrp1,GALE,NULL,All
BLYTHE NO.1 BANK:SERIES,EMS,ABC,en_3213051_S,en_3213051,SRD_33.0KV_EMS,DMSLimitGrp1,BLYTHE,NULL,All
BLYTHE NO.3 BANK:SERIES,EMS,ABC,en_3213701_S,en_3213701,SRD_33.0KV_EMS,DMSLimitGrp1,BLYTHE,NULL,All
BLYTHE CITY NO.2 BANK:SERIES,EMS,ABC,en_3202051_S,en_3202051,SRD_4.0KV_EMS,DMSLimitGrp1,BLYTHE_CITY,NULL,All
BLYTHE CITY NO.1 BANK:SERIES,EMS,ABC,en_3202705_S,en_3202705,SRD_4.0KV_EMS,DMSLimitGrp1,BLYTHE_CITY,NULL,All
BORREGO NO.4 BANK:SERIES,EMS,ABC,en_3286062_S,en_3286062,SRD_12.0KV_EMS,DMSLimitGrp1,BORREGO,NULL,All
SAWTELLE NO.1 BANK:SERIES,EMS,ABC,en_3290701_S,en_3290701,SRD_16.0KV_EMS,DMSLimitGrp1,SAWTELLE,NULL,All
SAWTELLE NO.2 BANK:SERIES,EMS,ABC,en_3290704_S,en_3290704,SRD_16.0KV_EMS,DMSLimitGrp1,SAWTELLE,NULL,All
MORRO NO.2 BANK:SERIES,EMS,ABC,en_3300006_S,en_3300006,SRD_12.0KV_EMS,DMSLimitGrp1,MORRO,NULL,All
MORRO NO.1 BANK:SERIES,EMS,ABC,en_3300012_S,en_3300012,SRD_12.0KV_EMS,DMSLimitGrp1,MORRO,NULL,All
NELSON NO.1 BANK:SERIES,EMS,ABC,en_3439611_S,en_3439611,SRD_12.0KV_EMS,DMSLimitGrp1,NELSON,NULL,All
NIGUEL NO.3 BANK:SERIES,EMS,ABC,en_3478701_S,en_3478701,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
NIGUEL NO.4 BANK:SERIES,EMS,ABC,en_3478702_S,en_3478702,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
NIGUEL NO.5 BANK:SERIES,EMS,ABC,en_3478703_S,en_3478703,SRD_12.0KV_EMS,DMSLimitGrp1,NIGUEL,NULL,All
JOHANNA NO.6 BANK:SERIES,EMS,ABC,en_3527701_S,en_3527701,SRD_12.0KV_EMS,DMSLimitGrp1,JOHANNA,NULL,All
