DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
THOUSAND OAKS BK 2_1324,EMS,ABC,en_3041706,en_3041011,SRD_16.0KV_EMS,DMSLimitGrp1,THOUSAND_OAKS,NULL,All
PALM CANYON BK 2_1344,EMS,ABC,en_3145704,en_3145005,SRD_12.0KV_EMS,DMSLimitGrp1,PALM_CANYON,NULL,All
BLOOMINGTON BK 2_1412,EMS,ABC,en_3013703,en_3013055,SRD_12.0KV_EMS,DMSLimitGrp1,BLOOMINGTON,NULL,All
BLOOMINGTON BK 4_1413,EMS,ABC,en_3013706,en_3013065,SRD_12.0KV_EMS,DMSLimitGrp1,BLOOMINGTON,NULL,All
HOMART BK 2_1419,EMS,ABC,en_3409703,en_3409054,SRD_12.0KV_EMS,DMSLimitGrp1,HOMART,NULL,All
PEPPER BK 2_1423,EMS,ABC,en_3421703,en_3421005,SRD_12.0KV_EMS,DMSLimitGrp1,PEPPER,NULL,All
FREMONT BK 2_1436,EMS,ABC,en_3468703,en_3468061,SRD_16.0KV_EMS,DMSLimitGrp1,FREMONT,NULL,All
APPLE VALLEY BK 2_1475,EMS,ABC,en_3573704,en_3573059,SRD_12.0KV_EMS,DMSLimitGrp1,APPLE_VALLEY,NULL,All
ROADWAY BK 1_1500,EMS,ABC,en_3571703,en_3571055,SRD_12.0KV_EMS,DMSLimitGrp1,ROADWAY,NULL,All
SUNNYSIDE BK 2_1527,EMS,ABC,en_284700,en_284012,SRD_12.0KV_EMS,DMSLimitGrp1,SUNNYSIDE,NULL,All
HUSTON BK.1_1533,EMS,ABC,en_3020703,en_3020006,SRD_12.0KV_EMS,DMSLimitGrp1,HUSTON,NULL,All
CHASE BK 1_1603,EMS,ABC,en_4103703,en_4103004,SRD_12.0KV_EMS,DMSLimitGrp1,CHASE,NULL,All
CHASE BK 2_1604,EMS,ABC,en_4103706,en_4103007,SRD_12.0KV_EMS,DMSLimitGrp1,CHASE,NULL,All
BULLIS-TROCHU_1607,EMS,ABC,en_252007,en_252803,SRD_16.0KV_EMS,DMSLimitGrp1,BULLIS,NULL,All
RUNNING SP BK 1_1621,EMS,ABC,en_3023703,en_3023704,SRD_12.0KV_EMS,DMSLimitGrp1,RUNNING_SPRINGS,NULL,All
AQUEDUCT BK 2_1630,EMS,ABC,en_4147703,en_4147056,SRD_12.0KV_EMS,DMSLimitGrp1,AQUEDUCT,NULL,All
HESPERIA BK 1_1631,EMS,ABC,en_4148703,en_4148005,SRD_12.0KV_EMS,DMSLimitGrp1,HESPERIA,NULL,All
VICTORVL BK 2_1634,EMS,ABC,en_4159703,en_4159999,SRD_12.0KV_EMS,DMSLimitGrp1,VICTORVILLE,NULL,All
MILLIKEN BK 2_1700,EMS,ABC,en_4203703,en_4203005,SRD_12.0KV_EMS,DMSLimitGrp1,MILLIKEN,NULL,All
MILLIKEN BK 3_1701,EMS,ABC,en_4203706,en_4203013,SRD_12.0KV_EMS,DMSLimitGrp1,MILLIKEN,NULL,All
CARSON BK 4_1706,EMS,ABC,en_257704,en_257012,SRD_16.0KV_EMS,DMSLimitGrp1,CARSON,NULL,All
SIGNAL HILL BK 1_1707,EMS,ABC,en_281703,en_281007,SRD_12.0KV_EMS,DMSLimitGrp1,SIGNAL_HILL,NULL,All
POTRERO CAP 1_1716,EMS,ABC,en_4216611,en_4216612,SRD_16.0KV_EMS,DMSLimitGrp1,POTRERO,NULL,All
POTRERO BK 1_1717,EMS,ABC,en_4216703,en_4216002,SRD_16.0KV_EMS,DMSLimitGrp1,POTRERO,NULL,All
POTRERO BK 3_1718,EMS,ABC,en_4216706,en_4216010,SRD_16.0KV_EMS,DMSLimitGrp1,POTRERO,NULL,All
PALM CNY CAP 1_1723,EMS,ABC,en_3145610,en_3145611,SRD_12.0KV_EMS,DMSLimitGrp1,PALM_CANYON,NULL,All
GLEN AVON BK 2_1803,EMS,ABC,en_4011703,en_4011005,SRD_12.0KV_EMS,DMSLimitGrp1,GLEN_AVON,NULL,All
