PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef
221,PURIFY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5422,2
232,SPARKLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8513,2
319,SKIP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,239,4
564,NEENACH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5556,3
565,WESTPAC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5591,3
567,FRAZIER_PARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8505,3
569,ALAMO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4006,3
570,BAILEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5059,3
571,GORMAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5512,3
572,OSO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,9119,3
584,ROSAMOND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5541,2
585,PALMDALE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5564,2
586,OASIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5548,2
588,PIUTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5545,2
589,REDMAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5530,2
590,QUARTZ_HILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5566,2
591,SHUTTLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5522,2
592,WILSONA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5567,2
593,CRYSTAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
594,YAVAPAI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
595,HASSAYAMPA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
596,BOREL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2314,2
600,ANTELOPE_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,2
602,ANTELOPE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5052,2
603,ACTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5365,2
604,ANAVERDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5539,2
607,GREAT_LAKES,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5561,2
609,TORTOISE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5462,2
610,DEL_SUR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5508,2
611,HELIJET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5599,2
612,ROCKAIR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5688,2
613,LITTLE_ROCK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5518,2
614,LANCASTER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5514,2
615,LANPRI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5362,2
638,PLAINVIEW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,155,2
758,APS_MORGAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
761,HOODOOWASH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
764,MOENKOPI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5092,65
765,PALO_VERDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5097,65
766,NAVAJO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4201,65
769,WESTWING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
770,FOUR_CORNERS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1330,65
783,N_GILA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
793,RITEAID,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5463,2
799,CEDAR_MOUNT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
811,PERKINS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
828,GLOW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8511,2
838,ALPINE_SOLAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,114,3
873,DAWN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,140,2
874,TWILIGHT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,162,2
890,BERRENDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,160,2
917,SOLARIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,169,2
949,BIXBY,No,No,NULL,Inside,Yes,NULL,Yes,5707,1
965,BIG_SKY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,176,2
966,DELANEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
967,SUN_VALLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
972,GOLDFINGER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,168,2
973,EDINGER,No,Yes,NULL,Inside,Yes,NULL,Yes,5875,1
974,CEDARWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5859,4
978,BASTA,No,Yes,NULL,Inside,Yes,NULL,Yes,5883,4
1018,CRYSTAL_CAPS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65
1021,RITTER_RANCH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8504,2
1059,BELMONT,No,No,NULL,Inside,Yes,NULL,Yes,5706,1
